iter	Passed	Remaining
399	80140	120210
400	80345	120017
401	80550	119824
402	80775	119659
403	80977	119461
404	81159	119233
405	81316	118970
406	81474	118708
407	81688	118528
408	81849	118271
409	82065	118093
410	82253	117875
411	82492	117732
412	82672	117503
413	82870	117300
414	83139	117197
415	83343	117001
416	83553	116814
417	83800	116678
418	83998	116475
419	84203	116281
420	84370	116034
421	84558	115816
422	84735	115584
423	84870	115296
424	85088	115119
425	85271	114895
426	85445	114661
427	85657	114476
428	85927	114369
429	86146	114194
430	86327	113967
431	86511	113746
432	86730	113570
433	86889	113316
434	87075	113097
435	87259	112877
436	87532	112771
437	87710	112542
438	87963	112409
439	88191	112243
440	88400	112053
441	88590	111839
442	88793	111643
443	88986	111433
444	89175	111218
445	89380	111024
446	89591	110837
447	89796	110641
448	89979	110419
449	90208	110254
450	90383	110023
451	90577	109815
452	90759	109592
453	90982	109419
454	91225	109269
455	91484	109139
456	91717	108976
457	91914	108771
458	92112	108567
459	92375	108440
460	92540	108197
461	92791	108055
462	93018	107885
463	93248	107717
464	93446	107513
465	93631	107294
466	93811	107069
467	94027	106885
468	94186	106637
469	94432	106487
470	94604	106254
471	94818	106067
472	95043	105894
473	95256	105706
474	95465	105514
475	95642	105286
476	95911	105161
477	96103	104949
478	96292	104735
479	96494	104536
480	96695	104334
481	96878	104114
482	97045	103876
483	97237	103666
484	97418	103444
485	97619	103244
486	97764	102984
487	97957	102775
488	98177	102594
489	98363	102378
490	98655	102272
491	98821	102035
492	99052	101865
493	99201	101611
494	99425	101434
495	99636	101243
496	99878	101084
497	100048	100852
498	100285	100687
499	100517	100517
500	100662	100261
501	100890	100086
502	101132	99926
503	101321	99713
504	101482	99473
505	101655	99244
506	101832	99020
507	102027	98813
508	102257	98641
509	102490	98471
510	102694	98273
511	102864	98042
512	103085	97861
513	103334	97705
514	103570	97537
515	103776	97340
516	104038	97196
517	104284	97036
518	104486	96836
519	104677	96625
520	104847	96395
521	105112	96252
522	105352	96086
523	105559	95889
524	105775	95701
525	105993	95514
526	106239	95353
527	106423	95135
528	106625	94934
529	106844	94748
530	107058	94558
531	107232	94332
532	107440	94136
533	107637	93930
534	107817	93710
535	108062	93546
536	108253	93335
537	108464	93141
538	108675	92949
539	108875	92745
540	109084	92550
541	109305	92365
542	109575	92221
543	109841	92073
544	110096	91915
545	110274	91693
546	110486	91499
547	110687	91296
548	110849	91061
549	111079	90882
550	111429	90802
551	111689	90646
552	111847	90408
553	112076	90227
554	112265	90014
555	112461	89807
556	112669	89609
557	112883	89416
558	113057	89192
559	113190	88935
560	113450	88778
561	113700	88613
562	113905	88413
563	114105	88208
564	114328	88023
565	114531	87820
566	114758	87637
567	114953	87429
568	115241	87291
569	115473	87111
570	115770	86980
571	115951	86760
572	116139	86546
573	116347	86348
574	116539	86137
575	116730	85926
576	116916	85711
577	117102	85496
578	117317	85303
579	117555	85126
580	117751	84919
581	117945	84710
582	118165	84519
583	118368	84317
584	118580	84121
585	118798	83929
586	119083	83784
587	119287	83582
588	119537	83412
589	119701	83182
590	119943	83006
591	120074	82754
592	120294	82562
593	120476	82346
594	120718	82170
595	120932	81974
596	121173	81797
597	121389	81603
598	121585	81395
599	121736	81157
600	121928	80947
601	122120	80737
602	122336	80543
603	122558	80352
604	122739	80135
605	122928	79923
606	123121	79714
607	123301	79496
608	123501	79292
609	123741	79113
610	123947	78912
611	124170	78722
612	124372	78519
613	124564	78309
614	124734	78085
615	124898	77858
616	125155	77690
617	125363	77489
618	125600	77308
619	125738	77065
620	125957	76872
621	126220	76706
622	126491	76544
623	126709	76350
624	126934	76160
625	127092	75930
626	127312	75737
627	127533	75545
628	127755	75353
629	127973	75158
630	128186	74961
631	128435	74785
632	128595	74556
633	128781	74343
634	128998	74148
635	129140	73910
636	129311	73689
637	129498	73477
638	129711	73279
639	129918	73079
640	130126	72879
641	130319	72670
642	130568	72492
643	130796	72303
644	130995	72098
645	131198	71895
646	131375	71677
647	131621	71497
648	131867	71318
649	132071	71115
650	132300	70925
651	132547	70746
652	132867	70604
653	133138	70436
654	133337	70231
655	133553	70034
656	133776	69840
657	133958	69625
658	134174	69428
659	134353	69212
660	134586	69023
661	134825	68838
662	135047	68643
663	135287	68458
664	135492	68255
665	135705	68056
666	135931	67863
667	136137	67661
668	136335	67454
669	136571	67266
670	136795	67072
671	137054	66895
672	137297	66710
673	137496	66504
674	137735	66317
675	137965	66125
676	138168	65921
677	138342	65702
678	138553	65501
679	138763	65300
680	138991	65107
681	139213	64911
682	139413	64705
683	139626	64505
684	139859	64314
685	140061	64109
686	140312	63926
687	140513	63721
688	140705	63511
689	140910	63307
690	141130	63110
691	141326	62902
692	141476	62674
693	141676	62468
694	141950	62294
695	142151	62089
696	142333	61875
697	142530	61667
698	142764	61476
699	143024	61296
700	143251	61101
701	143442	60891
702	143662	60693
703	143938	60519
704	144153	60319
705	144329	60103
706	144548	59904
707	144782	59712
708	145001	59514
709	145224	59316
710	145518	59149
711	145750	58955
712	145990	58764
713	146181	58554
