iter	RMSE
345	4.6651792
346	4.664630238
347	4.664448302
348	4.664339579
349	4.664218412
350	4.663961557
351	4.66373639
352	4.663596432
353	4.662828984
354	4.662379007
355	4.662367439
356	4.661606718
357	4.661143755
358	4.660976746
359	4.6599217
360	4.659789353
361	4.659646631
362	4.659516644
363	4.659049143
364	4.658557024
365	4.658335541
366	4.658156495
367	4.65787288
368	4.657509147
369	4.657248581
370	4.657002871
371	4.65672686
372	4.656684667
373	4.656268629
374	4.656260072
375	4.655374143
376	4.654999143
377	4.654862317
378	4.654514439
379	4.654279721
380	4.653778148
381	4.653742685
382	4.653603017
383	4.653080941
384	4.652845455
385	4.652627437
386	4.652333802
387	4.651807813
388	4.651601795
389	4.650974387
390	4.650821522
391	4.650623048
392	4.650288142
393	4.650188619
394	4.650020232
395	4.649930335
396	4.649517024
397	4.649116654
398	4.648848653
399	4.648407112
400	4.648044113
401	4.647957487
402	4.647652292
403	4.647132117
404	4.647104594
405	4.64704451
406	4.646908317
407	4.646813028
408	4.646504803
409	4.646086179
410	4.645661607
411	4.645446734
412	4.645346124
413	4.645130383
414	4.645050804
415	4.644633705
416	4.644332487
417	4.643770426
418	4.643354453
419	4.643239201
420	4.643117962
421	4.642921796
422	4.642913366
423	4.6425285
424	4.642342064
425	4.642158006
426	4.642144596
427	4.641842464
428	4.641665613
429	4.641388576
430	4.641288455
431	4.641034941
432	4.640877916
433	4.640659374
434	4.640656721
435	4.640556443
436	4.64036242
437	4.640228352
438	4.639961613
439	4.639675177
440	4.639293579
441	4.639261969
442	4.639190797
443	4.638973978
444	4.638478279
445	4.638159527
446	4.637826366
447	4.637625932
448	4.637141398
449	4.636701572
450	4.636648612
451	4.636480707
452	4.636377822
453	4.636291323
454	4.636063964
455	4.636052498
456	4.635912511
457	4.635842257
458	4.635761539
459	4.635420118
460	4.635370539
461	4.63517155
462	4.634550523
463	4.634420621
464	4.634236525
465	4.634092064
466	4.633568702
467	4.633169214
468	4.633155737
469	4.632684413
470	4.632541168
471	4.632383513
472	4.632310318
473	4.63219419
474	4.632022576
475	4.631922656
476	4.631498768
477	4.631066348
478	4.630471186
479	4.630468052
480	4.630033009
481	4.629965146
482	4.629902249
483	4.629772377
484	4.629461289
485	4.629283037
486	4.629243526
487	4.629139774
488	4.628647538
489	4.628432395
490	4.627972295
491	4.627879232
492	4.627573138
493	4.627572823
494	4.627381476
495	4.626989954
496	4.626846629
497	4.62683917
498	4.626548692
499	4.626144036
500	4.626130095
501	4.626038584
502	4.625690871
503	4.625526879
504	4.625424095
505	4.625162594
506	4.625149012
507	4.624953272
508	4.624598148
509	4.624469964
510	4.624045392
511	4.624041696
512	4.623748356
513	4.623249883
514	4.622975957
515	4.622827437
516	4.622478657
517	4.622253025
518	4.62224514
519	4.622160143
520	4.622118919
521	4.621926686
522	4.621643547
523	4.621499748
524	4.621246674
525	4.621164316
526	4.620936261
527	4.620932489
528	4.620660707
529	4.619886787
530	4.619649008
531	4.619531513
532	4.619202452
533	4.619179021
534	4.618593024
535	4.618318665
536	4.618162128
537	4.618041403
538	4.617476752
539	4.617417494
540	4.61728128
541	4.616878979
542	4.616452463
543	4.616190891
544	4.615970104
545	4.615883407
546	4.615480484
547	4.615007405
548	4.614999782
549	4.61459562
550	4.614457696
551	4.614451122
552	4.614261463
553	4.614031865
554	4.613804976
555	4.613638615
556	4.613459144
557	4.612964085
558	4.612803106
559	4.61271132
560	4.612266639
561	4.612191786
562	4.611901722
563	4.61182114
564	4.611722025
565	4.611524741
566	4.611255575
567	4.61109896
568	4.611032274
569	4.610838956
570	4.610537799
571	4.610527048
572	4.610517768
573	4.610422907
574	4.610398537
575	4.610251575
576	4.610109407
577	4.610101056
578	4.609708573
579	4.60939523
580	4.609277733
581	4.609228165
582	4.608945636
583	4.608677025
584	4.608254331
585	4.608088527
586	4.607800203
587	4.607753993
588	4.607683719
589	4.607534068
590	4.607387348
591	4.607377981
592	4.607297679
593	4.606816454
594	4.606578589
595	4.606506311
596	4.606168384
597	4.606023576
598	4.605975846
599	4.605853877
600	4.605615087
601	4.605496746
602	4.605346583
603	4.605003006
604	4.604911926
605	4.604807847
606	4.60468537
607	4.604588427
608	4.604338081
609	4.604308979
610	4.603864345
611	4.603395097
612	4.60331603
613	4.603302657
614	4.60320379
615	4.603134045
616	4.602717606
617	4.60267967
618	4.602418668
619	4.602353037
620	4.60233057
621	4.601991292
622	4.601852086
623	4.601713997
624	4.601499103
625	4.601411284
626	4.601131767
627	4.601003425
628	4.600944751
629	4.600596226
630	4.600377068
631	4.60017146
632	4.600129887
633	4.600057142
634	4.600009422
635	4.599937368
636	4.599862447
637	4.599803831
638	4.599610006
639	4.59947609
640	4.599446622
641	4.599399498
642	4.598945028
643	4.598616359
644	4.598494924
645	4.598337385
646	4.598317346
647	4.598154727
648	4.598044973
649	4.597827339
650	4.597688353
651	4.597314863
652	4.596890156
653	4.596637519
654	4.596509794
655	4.596453984
656	4.596437655
657	4.596145708
658	4.595872037
659	4.595768479
660	4.595536278
661	4.595172742
662	4.595108637
663	4.595077211
664	4.594883639
665	4.594714164
666	4.594308429
667	4.594039007
668	4.593773749
669	4.593690605
670	4.593592563
671	4.593457093
672	4.593134321
673	4.593080935
674	4.592822808
675	4.592665989
676	4.592605494
677	4.592510892
678	4.591959461
679	4.591556669
680	4.591487019
681	4.591120899
682	4.590887551
683	4.590395605
684	4.590294859
685	4.590165505
686	4.589966005
687	4.589836541
688	4.589408682
689	4.589286498
690	4.589168031
691	4.589133827
692	4.58907893
693	4.588900985
694	4.58863438
695	4.588200381
696	4.588168119
697	4.588072798
698	4.587936868
699	4.587768574
700	4.587645814
701	4.587639005
702	4.587609088
703	4.58742692
704	4.58725449
705	4.587115722
706	4.586997863
707	4.58665989
708	4.586616068
709	4.58645166
710	4.585959155
711	4.585727602
712	4.585538372
713	4.585525287
714	4.585281595
715	4.585228001
716	4.585146715
717	4.584998475
718	4.584843657
719	4.584739499
720	4.58459414
721	4.584583835
722	4.584446441
723	4.584328473
724	4.584249686
725	4.58411828
726	4.584073555
727	4.583902824
728	4.583613168
729	4.583478487
730	4.582888026
731	4.582753697
732	4.582691246
733	4.582535445
734	4.582113844
735	4.582027806
736	4.581888587
737	4.581859529
738	4.581821406
739	4.581492221
740	4.581418085
741	4.581211429
742	4.581195726
743	4.58107223
744	4.581002478
745	4.580982487
746	4.580823402
747	4.580607314
748	4.580585645
749	4.580270192
750	4.579844648
751	4.579771022
752	4.579663279
753	4.579468248
754	4.579395635
755	4.579113045
756	4.57897225
757	4.578834155
758	4.578659545
759	4.578360317
760	4.578229755
761	4.578088457
762	4.577911761
763	4.577803659
764	4.577764835
765	4.577706895
766	4.577517854
767	4.577443727
768	4.577360887
769	4.577065194
770	4.577012628
771	4.576854205
772	4.576802425
773	4.576745914
774	4.576525022
775	4.576155526
776	4.576042075
777	4.576007872
778	4.575979214
779	4.575832793
780	4.575826573
781	4.575391985
782	4.575244075
783	4.575224309
784	4.574902571
785	4.574872821
786	4.574855009
787	4.574581044
788	4.574320243
789	4.574227311
790	4.574125631
791	4.574054233
792	4.57397729
793	4.573889709
794	4.573719451
795	4.57370269
796	4.573671999
797	4.573429744
798	4.573356113
799	4.573278456
800	4.573245763
801	4.573088704
802	4.573068329
803	4.572942117
804	4.572875324
805	4.572707928
806	4.572492404
807	4.572414818
808	4.572090382
809	4.572067449
810	4.571946183
811	4.571857368
812	4.571630384
813	4.571441323
814	4.571065394
815	4.5709577
816	4.570903974
817	4.57068012
818	4.570013513
819	4.569994788
820	4.569982068
821	4.569972847
822	4.569847053
823	4.569839208
824	4.569759576
825	4.569678054
826	4.569569403
827	4.56942105
828	4.569261958
829	4.569213402
830	4.569096079
831	4.568958093
832	4.568806278
833	4.568501609
834	4.568445218
835	4.568394029
836	4.568299388
837	4.56828605
838	4.568250113
839	4.568073023
840	4.567861884
841	4.567802069
842	4.567766201
843	4.567565228
844	4.567511602
845	4.567268957
846	4.566905293
847	4.566665832
848	4.566566179
849	4.566505542
850	4.566441423
851	4.566176352
852	4.56607149
853	4.565895405
854	4.565849347
855	4.56572899
856	4.565667763
857	4.56562564
858	4.565596208
859	4.565547196
860	4.565418834
861	4.565412577
862	4.565407986
863	4.565013104
864	4.564942492
865	4.564757352
866	4.564723999
867	4.564461896
868	4.564447508
869	4.564260188
870	4.563972995
871	4.563879256
872	4.563815553
873	4.563693105
874	4.563628838
875	4.563456393
876	4.563307075
877	4.563080758
878	4.562731267
879	4.562717362
880	4.562707377
881	4.562424091
882	4.562316899
883	4.562272331
884	4.562238311
885	4.56216073
886	4.562122429
887	4.56208713
888	4.562038623
889	4.561940058
890	4.561899793
891	4.561850493
892	4.561781608
893	4.561589019
894	4.561553883
895	4.561450165
896	4.561331399
897	4.561047393
898	4.560972865
899	4.560963925
900	4.560935219
901	4.560767844
902	4.560746631
903	4.560680026
904	4.560626535
905	4.560401693
906	4.560347868
907	4.560278135
908	4.56018797
909	4.560179035
910	4.560029152
911	4.560024627
912	4.559983793
913	4.559783109
914	4.559633623
915	4.559556544
916	4.559457169
917	4.559447273
918	4.559443324
919	4.559292251
920	4.558988558
921	4.558841134
922	4.558737595
923	4.55867039
924	4.558512929
925	4.558465659
926	4.558401402
927	4.558359572
928	4.558274981
929	4.558164384
930	4.558036246
931	4.558015375
932	4.557809432
933	4.557495481
934	4.557282396
935	4.557237505
936	4.557131731
937	4.556791746
938	4.556615113
939	4.556365506
940	4.556271271
941	4.555998368
942	4.555919994
943	4.555824977
944	4.555800741
945	4.555643405
946	4.555548541
947	4.555335558
948	4.55522174
949	4.55509696
950	4.554803933
951	4.554751467
952	4.554667182
953	4.554515618
954	4.554350144
955	4.554263366
956	4.554132984
957	4.554008026
958	4.553957088
959	4.55359973
960	4.553415895
961	4.553129782
962	4.55311657
963	4.553008514
964	4.552999199
965	4.552897123
966	4.552885535
967	4.552865752
968	4.552604962
969	4.552385641
970	4.552356813
971	4.552340396
972	4.552332164
973	4.552090551
974	4.551999481
975	4.551905852
976	4.551646604
977	4.551464096
978	4.551216217
979	4.551159615
980	4.550701958
981	4.550538733
982	4.550404013
983	4.550293516
984	4.549864558
985	4.549796788
986	4.549788356
987	4.549392037
988	4.549374791
989	4.549329529
990	4.549116518
991	4.549028122
992	4.54897293
993	4.548553022
994	4.548489127
995	4.54835716
996	4.548176928
997	4.548077
998	4.548028706
999	4.547906147
