Hour,DayOfWeek,Hour,Temp,A/D,Runway,Airline,From/To,Aircraft Type
17,1,17,26.6,0,0,0,29,6
20,0,20,18.7,0,0,0,10,6
18,1,18,27.8,0,0,0,13,6
15,2,15,24.6,0,1,0,13,5
19,6,19,12.0,0,0,5,18,1
13,1,13,9.8,1,2,0,13,6
15,1,15,29.9,0,1,0,20,6
22,5,22,7.5,0,0,0,3,5
6,1,6,11.3,0,1,0,13,5
10,2,10,13.9,0,0,0,13,6
8,4,8,1.9,0,0,0,3,5
17,2,17,7.5,0,0,5,12,4
12,0,12,12.2,0,0,9,21,11
17,3,17,13.6,0,0,5,62,1
15,6,15,27.9,0,1,0,10,5
16,6,16,32.3,0,1,4,13,4
21,1,21,16.1,0,0,0,3,6
10,2,10,25.0,0,1,6,18,8
11,2,11,14.3,0,0,0,6,7
7,5,7,13.1,0,0,0,14,5
10,0,10,20.7,0,0,0,13,6
18,0,18,8.0,0,0,0,7,6
12,3,12,10.8,0,0,0,18,5
9,5,9,12.5,0,1,21,3,5
4,5,4,6.8,0,0,21,3,5
19,3,19,27.5,0,1,13,6,6
20,1,20,24.8,0,1,0,7,6
11,1,11,15.9,0,0,0,24,5
18,0,18,18.9,0,0,0,12,5
11,5,11,11.5,0,0,0,10,6
0,2,0,20.6,0,0,5,6,1
10,5,10,11.0,0,0,31,63,12
13,3,13,24.2,0,0,23,43,0
22,1,22,13.1,0,0,10,38,10
19,3,19,8.9,1,2,0,12,6
15,0,15,26.4,0,0,0,31,6
8,3,8,14.8,0,0,6,18,8
13,1,13,24.3,0,0,5,12,4
17,4,17,25.8,0,0,0,5,5
15,3,15,25.1,0,0,13,6,6
11,3,11,10.8,0,0,0,12,6
22,3,22,18.0,0,0,43,62,8
7,4,7,9.9,0,0,13,6,6
5,4,5,4.1,0,0,21,3,5
9,2,9,8.7,0,0,0,16,7
10,3,10,9.0,0,0,0,29,6
0,1,0,8.8,0,0,0,1,7
12,6,12,20.9,0,0,0,13,5
7,2,7,16.4,0,0,5,10,4
1,0,1,13.3,0,0,2,2,8
13,4,13,14.4,0,0,0,10,6
23,4,23,5.2,0,0,0,35,0
6,5,6,14.1,0,1,0,8,5
4,3,4,1.1,0,0,0,13,5
12,0,12,16.0,0,0,0,10,6
11,5,11,23.4,0,0,0,29,6
10,5,10,21.0,0,0,0,14,5
18,1,18,28.9,0,1,0,18,5
17,0,17,18.0,0,0,0,3,0
14,6,14,15.2,0,0,4,6,4
1,1,1,12.6,0,0,1,1,1
9,1,9,11.5,0,0,0,4,5
5,0,5,13.6,0,0,0,13,5
11,1,11,11.2,0,0,5,14,1
7,5,7,5.8,0,0,0,10,6
15,2,15,10.9,0,0,13,4,5
5,6,5,2.2,0,0,4,13,1
13,2,13,11.5,0,0,4,5,4
15,6,15,21.3,0,0,0,12,6
